car_name,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
"dodge,colt",4,90.0,75.0,2125,14.5,74,1,28.0
"volkswagen,rabbit,custom",4,97.0,78.0,1940,14.5,77,2,29.0
"amc,matador",8,304.0,150.0,3672,11.5,73,1,14.0
"triumph,tr7,coupe",4,122.0,88.0,2500,15.1,80,2,35.0
"volkswagen,rabbit",4,97.0,71.0,1825,12.2,76,2,29.5
"ford,mustang,cobra",4,140.0,92.0,2905,14.3,80,1,23.6
"dodge,monaco,brougham",8,318.0,145.0,4140,13.7,77,1,15.5
"buick,century,special",6,231.0,105.0,3380,15.8,78,1,20.6
"plymouth,horizon",4,105.0,70.0,2200,13.2,79,1,34.2
"opel,1900",4,116.0,81.0,2220,16.9,76,2,25.0
"audi,5000s,(diesel)",5,121.0,67.0,2950,19.9,80,2,36.4
"ford,fairmont,4",4,140.0,88.0,2890,17.3,79,1,22.3
"peugeot,504",4,120.0,88.0,3270,21.9,76,2,19.0
"mercury,zephyr,6",6,200.0,85.0,2990,18.2,79,1,19.8
"datsun,b210",4,79.0,67.0,1950,19.0,74,3,31.0
"chevrolet,impala",8,350.0,165.0,4209,12.0,71,1,14.0
"dodge,colt",4,98.0,79.0,2255,17.7,76,1,26.0
"datsun,f-10,hatchback",4,85.0,70.0,1945,16.8,77,3,33.5
"ford,pinto",4,122.0,85.0,2310,18.5,73,1,19.0
"volvo,244dl",4,121.0,98.0,2945,14.5,75,2,22.0
"datsun,510",4,119.0,97.0,2300,14.7,78,3,27.2
"datsun,280-zx",6,168.0,132.0,2910,11.4,80,3,32.7
"fiat,128",4,68.0,49.0,1867,19.5,73,2,29.0
"chrysler,lebaron,salon",6,225.0,85.0,3465,16.6,81,1,17.6
"amc,concord,dl",4,151.0,92.0,3035,20.5,82,1,23.0
"toyota,corolla",4,108.0,70.0,2245,16.9,82,3,34.0
"ford,ltd,landau",8,302.0,129.0,3725,13.4,79,1,17.6
"volvo,diesel",6,145.0,76.0,3160,19.6,81,2,30.7
"buick,skyhawk",6,231.0,110.0,3039,15.0,75,1,21.0
"datsun,310,gx",4,91.0,67.0,1995,16.2,82,3,38.0
"ford,gran,torino",8,302.0,140.0,4141,14.0,74,1,16.0
"mercury,monarch",6,250.0,72.0,3432,21.0,75,1,15.0
"dodge,aspen,se",6,225.0,100.0,3651,17.7,76,1,20.0
"vw,rabbit",4,90.0,70.0,1937,14.2,76,2,29.0
"toyota,celica,gt",4,144.0,96.0,2665,13.9,82,3,32.0
"plymouth,satellite",8,318.0,150.0,3436,11.0,70,1,18.0
"datsun,b-210",4,85.0,70.0,1990,17.0,76,3,32.0
"chevrolet,monte,carlo,s",8,350.0,145.0,4082,13.0,73,1,15.0
"ford,thunderbird",8,351.0,149.0,4335,14.5,77,1,16.0
"chevrolet,cavalier,2-door",4,112.0,88.0,2395,18.0,82,1,34.0
"volvo,144ea",4,121.0,112.0,2868,15.5,73,2,19.0
"buick,skylark,limited",4,151.0,90.0,2670,16.0,79,1,28.4
"mercury,cougar,brougham",8,302.0,130.0,4295,14.9,77,1,15.0
subaru,4,97.0,67.0,2065,17.8,81,3,32.3
"chevrolet,chevette",4,98.0,68.0,2155,16.5,78,1,30.0
"ford,fairmont",4,140.0,88.0,2870,18.1,80,1,26.4
"plymouth,reliant",4,135.0,84.0,2385,12.9,81,1,30.0
"amc,hornet",6,232.0,100.0,2901,16.0,74,1,19.0
"ford,gran,torino,(sw)",8,302.0,140.0,4294,16.0,72,1,13.0
"toyota,corolla",4,108.0,75.0,2265,15.2,80,3,32.2
"datsun,pl510",4,97.0,88.0,2130,14.5,71,3,27.0
"dodge,colt,(sw)",4,98.0,80.0,2164,15.0,72,1,28.0
"honda,civic,1500,gl",4,91.0,67.0,1850,13.8,80,3,44.6
"amc,gremlin",6,232.0,100.0,2789,15.0,73,1,18.0
"datsun,b210,gx",4,85.0,70.0,2070,18.6,78,3,39.4
"ford,fairmont,(man)",4,140.0,88.0,2720,15.4,78,1,25.1
"chevrolet,chevelle,malibu,classic",6,250.0,100.0,3781,17.0,74,1,16.0
"volkswagen,rabbit,custom,diesel",4,90.0,48.0,1985,21.5,78,2,43.1
"capri,ii",4,140.0,92.0,2572,14.9,76,1,25.0
"buick,estate,wagon,(sw)",8,350.0,155.0,4360,14.9,79,1,16.9
"pontiac,safari,(sw)",8,400.0,175.0,5140,12.0,71,1,13.0
"ford,granada,gl",6,200.0,88.0,3060,17.1,81,1,20.2
"ford,galaxie,500",8,351.0,153.0,4129,13.0,72,1,14.0
"datsun,510,hatchback",4,119.0,92.0,2434,15.0,80,3,37.0
"buick,century,350",8,350.0,175.0,4100,13.0,73,1,13.0
"bmw,320i",4,121.0,110.0,2600,12.8,77,2,21.5
"renault,12tl",4,101.0,83.0,2202,15.3,76,2,27.0
"ford,ltd",8,351.0,148.0,4657,13.5,75,1,14.0
"chevrolet,monte,carlo",8,400.0,150.0,3761,9.5,70,1,15.0
"chevrolet,chevelle,malibu",6,250.0,100.0,3329,15.5,71,1,17.0
"pontiac,astro",4,140.0,78.0,2592,18.5,75,1,23.0
"volkswagen,dasher",4,79.0,67.0,1963,15.5,74,2,26.0
"audi,4000",4,97.0,78.0,2188,15.8,80,2,34.3
"plymouth,sapporo",4,156.0,105.0,2745,16.7,78,1,23.2
"chevrolet,caprice,classic",8,305.0,145.0,3880,12.5,77,1,17.5
"peugeot,304",4,79.0,70.0,2074,19.5,71,2,30.0
"volkswagen,dasher",4,97.0,78.0,2190,14.1,77,2,30.5
"mercedes,benz,300d",5,183.0,77.0,3530,20.1,79,2,25.4
"vw,rabbit,c,(diesel)",4,90.0,48.0,2085,21.7,80,2,44.3
"peugeot,504",4,120.0,88.0,2957,17.0,75,2,23.0
"plymouth,fury,iii",8,318.0,150.0,4096,13.0,71,1,14.0
"vokswagen,rabbit",4,89.0,62.0,1845,15.3,80,2,29.8
"ford,pinto",4,140.0,72.0,2565,13.6,76,1,26.5
"ford,fairmont,(auto)",6,200.0,85.0,2965,15.8,78,1,20.2
"oldsmobile,cutlass,ciera,(diesel)",6,262.0,85.0,3015,17.0,82,1,38.0
"ford,torino",8,302.0,140.0,3449,10.5,70,1,17.0
"plymouth,volare",6,225.0,100.0,3430,17.2,78,1,20.5
"toyota,corolla",4,108.0,75.0,2350,16.8,81,3,32.4
"ford,maverick",6,250.0,88.0,3021,16.5,73,1,18.0
"buick,skylark",6,231.0,105.0,3425,16.9,77,1,20.5
"dodge,aries,wagon,(sw)",4,156.0,92.0,2620,14.4,81,1,25.8
"chevy,c10",8,350.0,145.0,4055,12.0,76,1,13.0
"toyota,corona",4,134.0,96.0,2702,13.5,75,3,24.0
"chevrolet,nova,custom",6,250.0,100.0,3278,18.0,73,1,16.0
"dodge,d100",8,318.0,150.0,3755,14.0,76,1,13.0
"ford,pinto,runabout",4,122.0,86.0,2226,16.5,72,1,21.0
"pontiac,firebird",6,250.0,100.0,3282,15.0,71,1,19.0
"ford,pinto",4,98.0,92.0,2046,19.0,71,1,25.0
"toyota,corona",4,134.0,95.0,2560,14.2,78,3,27.5
"ford,granada,ghia",6,250.0,78.0,3574,21.0,76,1,18.0
"renault,18i",4,100.0,92.0,2320,15.8,81,2,34.5
"chevrolet,chevette",4,98.0,70.0,2120,15.5,80,1,32.1
"chevrolet,monte,carlo,landau",8,350.0,170.0,4165,11.4,77,1,15.5
"dodge,aspen",6,225.0,110.0,3620,18.7,78,1,18.6
"dodge,st.,regis",8,318.0,135.0,3830,15.2,79,1,18.2
"amc,matador",6,258.0,110.0,3730,19.0,75,1,15.0
"plymouth,reliant",4,135.0,84.0,2490,15.7,81,1,27.2
"dodge,coronet,custom,(sw)",8,318.0,150.0,4457,13.5,74,1,14.0
"chevrolet,impala",8,350.0,165.0,4274,12.0,72,1,13.0
"plymouth,satellite,sebring",6,225.0,105.0,3613,16.5,74,1,18.0
"chevrolet,nova",6,250.0,100.0,3336,17.0,74,1,15.0
"plymouth,fury,iii",8,318.0,150.0,4135,13.5,72,1,15.0
"oldsmobile,cutlass,salon,brougham",8,260.0,90.0,3420,22.2,79,1,23.9
"toyota,corona,mark,ii",4,113.0,95.0,2372,15.0,70,3,24.0
"pontiac,catalina",8,400.0,170.0,4668,11.5,75,1,16.0
"ford,galaxie,500",8,351.0,153.0,4154,13.5,71,1,14.0
"oldsmobile,cutlass,ls",8,350.0,105.0,3725,19.0,81,1,26.6
"mazda,glc",4,86.0,65.0,2110,17.9,80,3,46.6
"honda,accord,cvcc",4,98.0,68.0,2045,18.5,77,3,31.5
"honda,accord,lx",4,98.0,68.0,2135,16.6,78,3,29.5
"chevrolet,cavalier,wagon",4,112.0,88.0,2640,18.6,82,1,27.0
"ford,mustang,ii,2+2",4,140.0,89.0,2755,15.8,77,1,25.5
"volvo,245",4,130.0,102.0,3150,15.7,76,2,20.0
"cadillac,seville",8,350.0,180.0,4380,12.1,76,1,16.5
"dodge,colt,hatchback,custom",4,98.0,80.0,1915,14.4,79,1,35.7
"datsun,810,maxima",6,146.0,120.0,2930,13.8,81,3,24.2
"mercury,monarch,ghia",8,302.0,139.0,3570,12.8,78,1,20.2
"chrysler,lebaron,medallion",4,156.0,92.0,2585,14.5,82,1,26.0
"buick,century",6,231.0,110.0,3415,15.8,81,1,22.4
"datsun,210",4,85.0,65.0,2020,19.2,79,3,31.8
"dodge,omni",4,105.0,75.0,2230,14.5,78,1,30.9
"pontiac,ventura,sj",6,250.0,110.0,3645,16.2,76,1,18.5
"chevroelt,chevelle,malibu",6,250.0,105.0,3897,18.5,75,1,16.0
"ford,country,squire,(sw)",8,400.0,170.0,4746,12.0,71,1,13.0
"buick,opel,isuzu,deluxe",4,111.0,80.0,2155,14.8,77,1,30.0
"ford,gran,torino",8,351.0,152.0,4215,12.8,76,1,14.5
"vw,rabbit",4,98.0,76.0,2144,14.7,80,2,41.5
"mercury,zephyr",6,200.0,85.0,3070,16.7,78,1,20.8
"plymouth,custom,suburb",8,360.0,170.0,4654,13.0,73,1,13.0
"toyota,corolla,1200",4,71.0,65.0,1773,19.0,71,3,31.0
"buick,skylark,320",8,350.0,165.0,3693,11.5,70,1,15.0
"mercury,capri,2000",4,122.0,86.0,2220,14.0,71,1,23.0
"ford,pinto,(sw)",4,122.0,86.0,2395,16.0,72,1,22.0
"toyota,corolla",4,97.0,75.0,2155,16.4,76,3,28.0
"plymouth,satellite,custom",6,225.0,105.0,3439,15.5,71,1,16.0
"buick,regal,sport,coupe,(turbo)",6,231.0,165.0,3445,13.4,78,1,17.7
"chevrolet,caprice,classic",8,400.0,150.0,4464,12.0,73,1,13.0
"buick,skylark",4,151.0,84.0,2635,16.4,81,1,26.6
"fiat,124b",4,88.0,76.0,2065,14.5,71,2,30.0
"ford,futura",8,302.0,139.0,3205,11.2,78,1,18.1
"datsun,810",6,146.0,97.0,2815,14.5,77,3,22.0
"amc,concord",4,151.0,90.0,3003,20.1,80,1,24.3
"ford,gran,torino",8,302.0,137.0,4042,14.5,73,1,14.0
"datsun,200-sx",4,119.0,97.0,2405,14.9,78,3,23.9
"ford,mustang,ii",8,302.0,129.0,3169,12.0,75,1,13.0
"mercedes-benz,240d",4,146.0,67.0,3250,21.8,80,2,30.0
"dodge,charger,2.2",4,135.0,84.0,2370,13.0,82,1,36.0
"amc,matador",6,258.0,110.0,3632,18.0,74,1,16.0
"chevrolet,citation",6,173.0,115.0,2595,11.3,79,1,28.8
"honda,accord",4,107.0,75.0,2205,14.5,82,3,36.0
"mazda,626",4,120.0,75.0,2542,17.5,80,3,31.3
"mazda,rx-4",3,80.0,110.0,2720,13.5,77,3,21.5
"datsun,1200",4,72.0,69.0,1613,18.0,71,3,35.0
"opel,1900",4,116.0,90.0,2123,14.0,71,2,28.0
"ford,pinto",6,171.0,97.0,2984,14.5,75,1,18.0
"amc,matador",8,304.0,120.0,3962,13.9,76,1,15.5
"dodge,rampage",4,135.0,84.0,2295,11.6,82,1,32.0
"chevrolet,chevelle,malibu,classic",8,305.0,140.0,4215,13.0,76,1,17.5
"amc,gremlin",6,232.0,100.0,2914,16.0,75,1,20.0
"dodge,colt,hardtop",4,97.5,80.0,2126,17.0,72,1,25.0
"ford,mustang",6,250.0,88.0,3139,14.5,71,1,18.0
"plymouth,champ",4,86.0,64.0,1875,16.4,81,1,39.0
"toyota,corolla,liftback",4,97.0,75.0,2265,18.2,77,3,26.0
"pontiac,phoenix,lj",6,231.0,105.0,3535,19.2,78,1,19.2
"audi,100,ls",4,107.0,90.0,2430,14.5,70,2,24.0
"chevrolet,citation",4,151.0,90.0,2678,16.5,80,1,28.0
"buick,century",6,231.0,110.0,3907,21.0,75,1,17.0
"saab,99gle",4,121.0,115.0,2795,15.7,78,2,21.6
"plymouth,valiant",6,225.0,100.0,3233,15.4,76,1,22.0
"vw,rabbit,custom",4,89.0,71.0,1925,14.0,79,2,31.9
"toyota,starlet",4,79.0,58.0,1755,16.9,81,3,39.1
"amc,concord",6,232.0,90.0,3210,17.2,78,1,19.4
"pontiac,phoenix",4,151.0,90.0,2556,13.2,79,1,33.5
"honda,civic",4,120.0,97.0,2489,15.0,74,3,24.0
"ford,pinto",4,122.0,80.0,2451,16.5,74,1,26.0
"fiat,x1.9",4,79.0,67.0,2000,16.0,74,2,31.0
"peugeot,505s,turbo,diesel",4,141.0,80.0,3230,20.4,81,2,28.1
"amc,hornet",6,232.0,100.0,2945,16.0,73,1,18.0
"pontiac,phoenix",4,151.0,90.0,2735,18.0,82,1,27.0
"chevrolet,malibu",8,350.0,145.0,3988,13.0,73,1,13.0
"renault,lecar,deluxe",4,85.0,92.0,1835,17.3,80,2,40.9
"ford,f108",8,302.0,130.0,3870,15.0,76,1,13.0
"dodge,dart,custom",8,318.0,150.0,3399,11.0,73,1,15.0
"chevy,s-10",4,119.0,82.0,2720,19.4,82,1,31.0
"peugeot,504",4,110.0,87.0,2672,17.5,70,2,25.0
"dodge,coronet,brougham",8,318.0,150.0,4190,13.0,76,1,16.0
"mazda,rx2,coupe",3,70.0,97.0,2330,13.5,72,3,19.0
"oldsmobile,vista,cruiser",8,350.0,180.0,4499,12.5,73,1,12.0
"toyota,celica,gt,liftback",4,134.0,95.0,2515,14.8,78,3,21.1
"toyota,tercel",4,89.0,62.0,2050,17.3,81,3,37.7
"volkswagen,super,beetle",4,97.0,46.0,1950,21.0,73,2,26.0
